,Azt32
W36662,1.249469321
T52373,0.774121461
RMI,2.252724362
F30658,-0.75256582
W91453,-0.879867938
W25637,-1.169181633
M55212,-0.339745007
F22031,0.815911802
M74707,0.141840416
T38079,-0.198273452
F9670,0.345538916
F5677,-0.496084425
S86968,1.155183856
X78812,0.961590877
H47921,0.755679723
PAO1,1.12599111
F34365,0.712107017
F23197,0.491358685
W60856,0.212551995
PA14,0.905202444
T6313,-0.036496548
M37351,0.272952891
F63912,0.018514669
H5708,0.213477051
M1608,0.060688521
X9820,-3.158873443
H27930,-1.99170149
T63266,-1.360263588
W45909,0.22176441
W16407,0.207504205

